Violation Precinct,Issue Date,count
5,2015-11-30,2021
5,2015-12-31,1483
5,2016-01-31,1868
5,2016-02-29,2105
5,2016-03-31,2300
5,2016-04-30,2280
5,2016-05-31,2041
5,2016-06-30,1741
5,2016-07-31,1748
5,2016-08-31,2112
5,2016-09-30,2499
5,2016-10-31,2289
5,2016-11-30,1895
5,2016-12-31,1800
5,2017-01-31,2084
5,2017-02-28,1872
5,2017-03-31,2075
5,2017-04-30,1726
5,2017-05-31,1645
5,2017-06-30,1129
5,2017-07-31,5
5,2017-08-31,3
5,2017-09-30,6
5,2017-10-31,2
5,2017-11-30,1
5,2017-12-31,6
6,2014-01-31,2827
6,2014-02-28,2914
6,2014-03-31,3202
6,2014-04-30,3360
6,2014-05-31,3136
6,2014-06-30,3023
6,2014-07-31,3434
6,2014-08-31,3600
6,2014-09-30,3702
6,2014-10-31,3461
6,2014-11-30,2629
6,2014-12-31,2003
6,2015-01-31,4358
6,2015-02-28,2383
6,2015-03-31,2669
6,2015-04-30,2732
6,2015-05-31,2684
6,2015-06-30,3178
6,2015-07-31,2367
6,2015-08-31,3042
6,2015-09-30,2766
6,2015-10-31,2819
6,2015-11-30,2702
6,2015-12-31,1635
6,2016-01-31,2543
6,2016-02-29,3100
6,2016-03-31,3443
6,2016-04-30,2878
6,2016-05-31,2706
6,2016-06-30,2066
6,2016-07-31,2094
6,2016-08-31,2384
6,2016-09-30,2776
6,2016-10-31,2908
6,2016-11-30,2552
6,2016-12-31,2157
6,2017-01-31,2224
6,2017-02-28,2421
6,2017-03-31,2497
6,2017-04-30,2581
6,2017-05-31,2258
6,2017-06-30,1447
6,2017-07-31,4
6,2017-08-31,4
6,2017-09-30,5
6,2017-10-31,3
6,2017-11-30,6
6,2017-12-31,2
7,2014-01-31,2072
7,2014-02-28,1968
7,2014-03-31,2344
7,2014-04-30,2354
7,2014-05-31,2350
7,2014-06-30,2397
7,2014-07-31,2197
7,2014-08-31,2470
7,2014-09-30,2277
7,2014-10-31,2425
7,2014-11-30,2035
7,2014-12-31,1665
7,2015-01-31,2642
7,2015-02-28,1616
7,2015-03-31,1794
7,2015-04-30,1754
7,2015-05-31,1763
7,2015-06-30,2517
7,2015-07-31,1684
7,2015-08-31,1843
7,2015-09-30,1717
7,2015-10-31,2078
7,2015-11-30,1695
7,2015-12-31,1348
7,2016-01-31,1579
7,2016-02-29,2078
7,2016-03-31,2038
7,2016-04-30,1981
7,2016-05-31,1769
7,2016-06-30,1648
7,2016-07-31,1415
7,2016-08-31,1569
7,2016-09-30,1762
7,2016-10-31,1831
7,2016-11-30,1667
7,2016-12-31,1589
7,2017-01-31,1482
7,2017-02-28,1467
7,2017-03-31,1521
7,2017-04-30,1459
7,2017-05-31,1332
7,2017-06-30,1049
7,2017-07-31,4
7,2017-08-31,4
7,2017-09-30,4
7,2017-10-31,10
7,2017-11-30,10
7,2017-12-31,4
8,2014-01-31,20
8,2014-02-28,20
8,2014-03-31,21
8,2014-04-30,13
8,2014-05-31,20
8,2014-06-30,20
8,2014-07-31,27
8,2014-08-31,18
8,2014-09-30,29
8,2014-10-31,12
8,2014-11-30,19
8,2014-12-31,19
8,2015-01-31,17
8,2015-02-28,15
8,2015-03-31,11
8,2015-04-30,19
8,2015-05-31,11
8,2015-06-30,17
8,2015-07-31,16
8,2015-08-31,18
8,2015-09-30,7
8,2015-10-31,11
8,2015-11-30,5
8,2015-12-31,12
8,2016-01-31,11
8,2016-02-29,11
8,2016-03-31,12
8,2016-04-30,15
8,2016-05-31,3
8,2016-06-30,7
8,2016-07-31,3
8,2016-08-31,13
8,2016-09-30,3
8,2016-10-31,14
8,2016-11-30,7
8,2016-12-31,13
8,2017-01-31,12
8,2017-02-28,10
8,2017-03-31,11
8,2017-04-30,16
8,2017-05-31,6
8,2017-06-30,3
8,2017-09-30,1
9,2014-01-31,2196
9,2014-02-28,1962
9,2014-03-31,2348
9,2014-04-30,2289
9,2014-05-31,2380
9,2014-06-30,2280
9,2014-07-31,1992
9,2014-08-31,2543
9,2014-09-30,2468
9,2014-10-31,2269
9,2014-11-30,1990
9,2014-12-31,1522
9,2015-01-31,2830
9,2015-02-28,1841
9,2015-03-31,1936
9,2015-04-30,1873
9,2015-05-31,1884
9,2015-06-30,2585
9,2015-07-31,1757
9,2015-08-31,1814
9,2015-09-30,1770
9,2015-10-31,2008
9,2015-11-30,1643
9,2015-12-31,1060
9,2016-01-31,1498
9,2016-02-29,1630
9,2016-03-31,2171
9,2016-04-30,1828
9,2016-05-31,1768
9,2016-06-30,1760
9,2016-07-31,1586
9,2016-08-31,1855
9,2016-09-30,1989
9,2016-10-31,2146
9,2016-11-30,2024
9,2016-12-31,1771
9,2017-01-31,1938
9,2017-02-28,1749
9,2017-03-31,1832
9,2017-04-30,1667
9,2017-05-31,1497
9,2017-06-30,946
9,2017-07-31,5
9,2017-08-31,5
9,2017-09-30,6
9,2017-10-31,9
9,2017-11-30,8
9,2017-12-31,12
10,2014-01-31,2707
10,2014-02-28,2387
10,2014-03-31,2840
10,2014-04-30,3234
10,2014-05-31,2863
10,2014-06-30,3131
10,2014-07-31,3143
10,2014-08-31,3192
10,2014-09-30,2845
10,2014-10-31,2572
10,2014-11-30,2388
10,2014-12-31,2157
10,2015-01-31,3951
10,2015-02-28,1902
10,2015-03-31,2143
10,2015-04-30,2151
10,2015-05-31,2010
10,2015-06-30,2799
10,2015-07-31,1926
10,2015-08-31,1987
10,2015-09-30,1883
10,2015-10-31,2179
10,2015-11-30,2007
10,2015-12-31,1165
10,2016-01-31,1946
10,2016-02-29,2394
10,2016-03-31,2279
10,2016-04-30,2147
10,2016-05-31,2109
10,2016-06-30,1782
10,2016-07-31,1344
10,2016-08-31,1510
10,2016-09-30,1525
10,2016-10-31,1813
10,2016-11-30,1496
10,2016-12-31,983
10,2017-01-31,1399
10,2017-02-28,1499
10,2017-03-31,1378
10,2017-04-30,1426
10,2017-05-31,1133
10,2017-06-30,695
10,2017-07-31,6
10,2017-08-31,5
10,2017-09-30,6
10,2017-11-30,5
10,2017-12-31,3
11,2014-01-31,27
11,2014-02-28,12
11,2014-03-31,10
11,2014-04-30,9
11,2014-05-31,15
11,2014-06-30,10
11,2014-07-31,10
11,2014-08-31,10
11,2014-09-30,20
11,2014-10-31,15
11,2014-11-30,8
11,2014-12-31,4
11,2015-01-31,21
11,2015-02-28,13
11,2015-03-31,14
11,2015-04-30,18
11,2015-05-31,10
11,2015-06-30,35
11,2015-07-31,19
11,2015-08-31,9
11,2015-09-30,10
11,2015-10-31,5
11,2015-11-30,17
11,2015-12-31,6
11,2016-01-31,14
11,2016-02-29,13
11,2016-03-31,10
11,2016-04-30,1
11,2016-05-31,4
11,2016-06-30,8
11,2016-07-31,6
11,2016-08-31,5
11,2016-09-30,3
11,2016-11-30,2
11,2016-12-31,7
11,2017-01-31,1
11,2017-02-28,3
11,2017-03-31,2
11,2017-04-30,3
11,2017-05-31,2
11,2017-06-30,4
12,2014-01-31,14
12,2014-02-28,17
12,2014-03-31,21
12,2014-04-30,10
12,2014-05-31,17
12,2014-06-30,24
12,2014-07-31,25
12,2014-08-31,21
12,2014-09-30,13
12,2014-10-31,18
12,2014-11-30,15
12,2014-12-31,25
12,2015-01-31,64
12,2015-02-28,86
12,2015-03-31,11
12,2015-04-30,20
12,2015-05-31,8
12,2015-06-30,27
12,2015-07-31,12
12,2015-08-31,17
12,2015-09-30,10
12,2015-10-31,13
12,2015-11-30,9
12,2015-12-31,7
12,2016-01-31,22
12,2016-02-29,18
12,2016-03-31,17
12,2016-04-30,12
12,2016-05-31,7
12,2016-06-30,10
12,2016-07-31,9
12,2016-08-31,5
12,2016-09-30,3
12,2016-10-31,4
12,2016-11-30,4
12,2016-12-31,8
12,2017-01-31,8
12,2017-02-28,5
12,2017-03-31,8
12,2017-04-30,4
12,2017-05-31,3
12,2017-06-30,1
13,2014-01-31,4045
13,2014-02-28,3533
13,2014-03-31,4678
13,2014-04-30,4731
13,2014-05-31,4682
13,2014-06-30,4879
13,2014-07-31,4870
13,2014-08-31,5008
13,2014-09-30,4753
13,2014-10-31,4390
13,2014-11-30,3297
13,2014-12-31,2714
13,2015-01-31,6080
13,2015-02-28,3026
13,2015-03-31,4038
13,2015-04-30,4188
13,2015-05-31,4235
13,2015-06-30,5513
13,2015-07-31,3951
13,2015-08-31,3921
13,2015-09-30,3906
13,2015-10-31,4230
13,2015-11-30,3665
13,2015-12-31,1563
13,2016-01-31,3372
13,2016-02-29,5465
13,2016-03-31,6440
13,2016-04-30,5536
13,2016-05-31,5033
13,2016-06-30,4403
13,2016-07-31,3586
13,2016-08-31,4247
13,2016-09-30,4767
13,2016-10-31,4657
13,2016-11-30,3337
13,2016-12-31,1201
13,2017-01-31,3139
13,2017-02-28,3226
13,2017-03-31,4122
13,2017-04-30,3533
13,2017-05-31,2856
13,2017-06-30,2413
13,2017-07-31,2
13,2017-08-31,7
13,2017-09-30,1
13,2017-10-31,7
13,2017-11-30,3
13,2017-12-31,7
14,2014-01-31,5819
14,2014-02-28,5564
14,2014-03-31,6742
14,2014-04-30,6765
14,2014-05-31,6572
14,2014-06-30,6116
14,2014-07-31,6053
14,2014-08-31,6347
14,2014-09-30,6397
14,2014-10-31,5823
14,2014-11-30,4976
14,2014-12-31,2922
14,2015-01-31,6762
14,2015-02-28,5044
14,2015-03-31,5677
14,2015-04-30,5651
14,2015-05-31,5217
14,2015-06-30,7038
14,2015-07-31,4953
14,2015-08-31,4909
14,2015-09-30,4412
14,2015-10-31,4562
14,2015-11-30,4075
14,2015-12-31,2881
14,2016-01-31,4646
14,2016-02-29,4597
14,2016-03-31,5182
14,2016-04-30,4670
14,2016-05-31,4572
14,2016-06-30,4517
14,2016-07-31,3889
14,2016-08-31,4743
14,2016-09-30,4516
14,2016-10-31,4683
14,2016-11-30,3641
14,2016-12-31,2840
14,2017-01-31,3521
14,2017-02-28,3472
14,2017-03-31,3873
14,2017-04-30,3568
14,2017-05-31,3330
14,2017-06-30,2333
14,2017-07-31,7
14,2017-08-31,11
14,2017-09-30,11
14,2017-10-31,7
14,2017-11-30,9
14,2017-12-31,3
15,2014-01-31,18
15,2014-02-28,13
15,2014-03-31,13
15,2014-04-30,17
15,2014-05-31,15
15,2014-06-30,15
15,2014-07-31,17
15,2014-08-31,21
15,2014-09-30,25
15,2014-10-31,19
15,2014-11-30,23
15,2014-12-31,10
15,2015-01-31,21
15,2015-02-28,29
15,2015-03-31,42
15,2015-04-30,18
15,2015-05-31,21
15,2015-06-30,31
15,2015-07-31,26
15,2015-08-31,21
15,2015-09-30,9
15,2015-10-31,14
15,2015-11-30,12
15,2015-12-31,19
15,2016-01-31,13
15,2016-02-29,20
15,2016-03-31,12
15,2016-04-30,12
15,2016-05-31,5
15,2016-06-30,4
15,2016-07-31,7
15,2016-08-31,9
15,2016-09-30,6
15,2016-10-31,5
15,2016-11-30,2
15,2016-12-31,10
15,2017-01-31,12
15,2017-02-28,7
15,2017-03-31,3
15,2017-04-30,11
15,2017-05-31,1
16,2014-01-31,14
16,2014-02-28,11
16,2014-03-31,19
16,2014-04-30,14
16,2014-05-31,11
16,2014-06-30,7
16,2014-07-31,7
16,2014-08-31,19
16,2014-09-30,7
16,2014-10-31,21
16,2014-11-30,12
16,2014-12-31,10
16,2015-01-31,10
16,2015-02-28,12
16,2015-03-31,15
16,2015-04-30,16
16,2015-05-31,9
16,2015-06-30,17
16,2015-07-31,9
16,2015-08-31,12
16,2015-09-30,9
16,2015-10-31,14
16,2015-11-30,14
16,2015-12-31,11
16,2016-01-31,15
16,2016-02-29,47
16,2016-03-31,15
16,2016-04-30,19
16,2016-05-31,29
16,2016-06-30,18
16,2016-07-31,9
16,2016-08-31,18
16,2016-09-30,13
16,2016-10-31,15
16,2016-11-30,14
16,2016-12-31,18
16,2017-01-31,15
16,2017-02-28,5
16,2017-03-31,2
16,2017-04-30,3
16,2017-05-31,9
16,2017-08-31,1
16,2017-09-30,2
17,2014-01-31,2706
17,2014-02-28,2785
17,2014-03-31,3628
17,2014-04-30,3565
17,2014-05-31,2921
17,2014-06-30,2860
17,2014-07-31,3294
17,2014-08-31,3437
17,2014-09-30,3179
17,2014-10-31,2851
17,2014-11-30,2220
17,2014-12-31,1529
17,2015-01-31,3356
17,2015-02-28,2279
17,2015-03-31,2851
17,2015-04-30,2690
17,2015-05-31,2211
